ID,Date,Time,Location,District,Lat,Lng,Region,Vehicle_Type,Weather,Road_Type,Light_Condition,Severity,Cause,Injuries,Fatalities,Driver_Age,Age_Group
20250025,2025-01-18,11:17,"NH-66, Kozhikode Bypass",Kozhikode,11.252239,75.772018,South,Auto-rickshaw,Cloudy,Residential Street,Daylight,Minor,Brake failure,1,0,42,41-60
20250026,2025-01-28,08:41,Kottayam-Kumily Road (NH-183),Kottayam,9.558632,76.894812,South,Motorcycle,Rainy,National Highway,Daylight,Minor,Over-speeding,1,0,33,26-40
20250027,2025-11-19,10:56,Kottayam-Kumily Road (NH-183),Kottayam,9.559098,76.899541,South,Car,Stormy,National Highway,Daylight,Minor,Signal violation,3,0,51,41-60
20250028,2025-06-24,13:30,"NH-66, Kozhikode Bypass",Kozhikode,11.248984,75.780447,South,Motorcycle,Rainy,National Highway,Daylight,Major,Overloading,2,1,30,26-40
20250029,2025-03-30,07:47,"MC Road, Kottayam",Kottayam,9.581637,76.526276,South,Car,Cloudy,Rural Road,Daylight,Major,Using phone while driving,2,0,32,26-40
20250030,2025-09-26,14:15,Kottayam-Kumily Road (NH-183),Kottayam,9.562477,76.89475,South,Motorcycle,Rainy,City Road,Daylight,Minor,Drunk driving,2,0,18,<26
20250031,2025-04-08,19:42,"NH-85, Munnar Road, Idukki",Idukki,9.988343,77.069805,South,Truck,Clear,City Road,Twilight,Minor,Vehicle malfunction,0,0,43,41-60
20250032,2025-12-23,10:16,"NH-66, Alappuzha Bypass",Alappuzha,9.496957,76.349445,South,Car,Clear,City Road,Daylight,Fatal,Brake failure,6,4,47,41-60
20250033,2025-05-06,14:49,"Nemom, Thiruvananthapuram",Thiruvananthapuram,8.474117,76.934923,South,Motorcycle,Cloudy,Rural Road,Daylight,Minor,Signal violation,3,0,32,26-40
20250034,2025-12-21,17:46,"Seaport-Airport Road, Kochi",Ernakulam,10.027232,76.3552,South,Motorcycle,Rainy,City Road,Daylight,Minor,Overloading,0,0,31,26-40
20250035,2025-05-20,14:04,"Peroorkada Junction, Thiruvananthapuram",Thiruvananthapuram,8.539473,76.922826,South,Car,Heatwave,City Road,Daylight,Major,Pedestrian error,6,0,56,41-60
20250036,2025-02-09,16:07,"Thalassery Road, Kannur",Kannur,11.736425,75.49286,South,Scooter,Cloudy,City Road,Daylight,Minor,Overloading,1,0,27,26-40
20250037,2025-11-06,16:59,"NH-66, Kundara, Kollam",Kollam,8.996987,76.688861,South,Motorcycle,Rainy,State Highway,Daylight,Major,Tailgating,5,0,36,26-40
20250038,2025-11-21,07:26,"NH-66, Alappuzha Bypass",Alappuzha,9.496261,76.342712,South,Truck,Clear,National Highway,Daylight,Major,Drunk driving,6,1,38,26-40
20250039,2025-01-07,23:53,"NH-85, Munnar Road, Idukki",Idukki,9.988296,77.051436,South,Auto-rickshaw,Clear,National Highway,Darkness (Lit),Major,Drunk driving,6,0,35,26-40
20250040,2025-05-09,17:46,"Pandalam Road, Pathanamthitta",Pathanamthitta,9.22917,76.660563,South,Car,Cloudy,National Highway,Daylight,Fatal,Wrong-side driving,5,5,51,41-60
20250041,2025-09-05,08:55,"NH-66, Kasaragod Bypass",Kasaragod,12.499639,74.994783,South,Motorcycle,Rainy,National Highway,Daylight,Fatal,Over-speeding,9,2,27,26-40
20250042,2025-07-01,15:04,"Kuttanad Road, Alappuzha",Alappuzha,9.399639,76.429553,South,Bus,Rainy,Rural Road,Daylight,Minor,Brake failure,0,0,28,26-40
20250043,2025-01-06,12:27,"Chalakudy Road, Thrissur",Thrissur,10.29206,76.322015,South,SUV,Clear,State Highway,Daylight,Fatal,Over-speeding,5,3,44,41-60
20250044,2025-11-25,08:39,"Paravur Road, Kollam",Kollam,8.788667,76.674977,South,Motorcycle,Rainy,City Road,Daylight,Minor,Animal crossing,2,0,35,26-40
20250045,2025-09-03,14:22,"Cherthala Road, Alappuzha",Alappuzha,9.682155,76.328332,South,Motorcycle,Stormy,Residential Street,Daylight,Minor,Pedestrian error,3,0,21,<26
20250046,2025-11-06,11:11,"NH-66, Kannur Bypass",Kannur,11.874929,75.377571,South,Motorcycle,Clear,City Road,Daylight,Major,Distracted driving,1,0,18,<26
20250047,2025-06-13,20:35,"NH-85, Munnar Road, Idukki",Idukki,10.003916,77.052352,South,Motorcycle,Stormy,City Road,Darkness (Unlit),Fatal,Lane changing without signal,6,4,27,26-40
20250048,2025-03-31,15:30,"Perumbavoor Road, Ernakulam",Ernakulam,10.10579,76.477459,South,Motorcycle,Cloudy,Rural Road,Daylight,Major,Brake failure,2,1,30,26-40
20250049,2025-06-30,07:16,"Kalpetta-Mananthavady Road, Wayanad",Wayanad,11.596866,76.072308,South,Motorcycle,Rainy,City Road,Daylight,Minor,Lane changing without signal,2,0,22,<26
20250050,2025-12-08,18:53,"Kottarakkara Junction, Kollam",Kollam,8.995392,76.781637,South,Auto-rickshaw,Cloudy,National Highway,Twilight,Major,Distracted driving,2,0,40,26-40
20250051,2025-10-10,07:19,"Kakkanad, Kochi",Ernakulam,10.019123,76.341019,South,Tractor,Clear,City Road,Daylight,Minor,Sleep deprivation,3,0,43,41-60
20250052,2025-09-17,22:08,"Chalakudy Road, Thrissur",Thrissur,10.308969,76.323577,South,Motorcycle,Stormy,Residential Street,Darkness (Unlit),Minor,Tire burst,0,0,21,<26
20250053,2025-02-03,01:13,"NH-66, Kannur Bypass",Kannur,11.880139,75.358774,South,Car,Clear,City Road,Darkness (Lit),Fatal,Drunk driving,4,2,49,41-60
20250054,2025-03-06,21:58,"Tirur Road, Malappuram",Malappuram,10.909783,75.929724,South,Car,Heatwave,Rural Road,Darkness (Lit),Minor,Drunk driving,3,0,35,26-40
20250055,2025-07-10,20:31,Kannur-Mananthavady Road,Kannur,11.861268,75.676773,South,Auto-rickshaw,Rainy,Residential Street,Darkness (Unlit),Minor,Tire burst,1,0,21,<26
20250056,2025-05-16,08:16,"Guruvayur Road, Thrissur",Thrissur,10.60298,76.04204,South,Motorcycle,Heatwave,Residential Street,Daylight,Minor,Lane changing without signal,1,0,18,<26
20250057,2025-01-16,16:14,"Ranni Road, Pathanamthitta",Pathanamthitta,9.391702,76.79195,South,Auto-rickshaw,Clear,City Road,Daylight,Major,Pedestrian error,3,0,18,<26
20250058,2025-07-11,17:00,"Karunagappally Road, Kollam",Kollam,9.054427,76.532752,South,Auto-rickshaw,Rainy,State Highway,Daylight,Major,Poor road condition,2,0,51,41-60
20250059,2025-01-25,13:35,"Calicut Beach Road, Kozhikode",Kozhikode,11.260899,75.780194,South,Motorcycle,Clear,Rural Road,Daylight,Minor,Brake failure,3,0,19,<26
20250060,2025-04-21,16:05,"Kuttanad Road, Alappuzha",Alappuzha,9.409683,76.429013,South,Auto-rickshaw,Clear,Residential Street,Daylight,Minor,Road rage,1,0,34,26-40
20250061,2025-06-24,06:03,"NH-66, Kannur Bypass",Kannur,11.863856,75.373533,South,Motorcycle,Rainy,State Highway,Daylight,Fatal,Drunk driving,3,5,34,26-40
20250062,2025-11-26,13:17,"Thalassery Road, Kannur",Kannur,11.759059,75.495951,South,Car,Rainy,City Road,Daylight,Minor,Distracted driving,3,0,36,26-40
20250063,2025-08-26,08:43,"Kozhinjampara Road, Palakkad",Palakkad,10.724693,76.845499,South,Bus,Rainy,Rural Road,Daylight,Fatal,Sleep deprivation,8,2,47,41-60
20250064,2025-07-15,13:20,"Attingal Bypass, Thiruvananthapuram",Thiruvananthapuram,8.699298,76.805833,South,Auto-rickshaw,Stormy,City Road,Daylight,Minor,Using phone while driving,0,0,46,41-60
20250065,2025-02-27,07:47,"NH-66, Alappuzha Bypass",Alappuzha,9.489312,76.332097,South,Auto-rickshaw,Clear,City Road,Daylight,Minor,Drunk driving,1,0,45,41-60
20250066,2025-11-05,23:13,"Kozhinjampara Road, Palakkad",Palakkad,10.73108,76.835614,South,Motorcycle,Rainy,State Highway,Darkness (Unlit),Major,Drunk driving,1,0,27,26-40
20250067,2025-01-22,17:59,"Cherthala Road, Alappuzha",Alappuzha,9.692962,76.336898,South,Auto-rickshaw,Cloudy,Rural Road,Daylight,Major,Overloading,6,0,25,<26
20250068,2025-09-03,15:00,"Guruvayur Road, Thrissur",Thrissur,10.583488,76.045563,South,Car,Rainy,Residential Street,Daylight,Minor,Road rage,2,0,19,<26
20250069,2025-12-20,19:45,"NH-66, Kazhakkoottam, Thiruvananthapuram",Thiruvananthapuram,8.551198,76.876615,South,Truck,Foggy,Residential Street,Twilight,Minor,Tailgating,1,0,25,<26
20250070,2025-10-03,06:42,"Guruvayur Road, Thrissur",Thrissur,10.584529,76.034658,South,Car,Rainy,Rural Road,Daylight,Minor,Pedestrian error,0,0,18,<26
20250071,2025-03-09,14:51,"Tirur Road, Malappuram",Malappuram,10.908319,75.929909,South,Car,Clear,National Highway,Daylight,Minor,Over-speeding,1,0,46,41-60
20250072,2025-12-10,02:03,"Karunagappally Road, Kollam",Kollam,9.042091,76.54529,South,Motorcycle,Clear,State Highway,Darkness (Lit),Major,Over-speeding,2,0,37,26-40
20250073,2025-02-27,17:05,"Tirur Road, Malappuram",Malappuram,10.903023,75.92499,South,Auto-rickshaw,Clear,State Highway,Daylight,Major,Over-speeding,7,0,39,26-40
20250074,2025-09-18,13:26,"NH-66, Alappuzha Bypass",Alappuzha,9.496812,76.332241,South,Auto-rickshaw,Rainy,City Road,Daylight,Minor,Overloading,1,0,49,41-60
20250075,2025-02-21,14:45,"Peroorkada Junction, Thiruvananthapuram",Thiruvananthapuram,8.538394,76.93874,South,Motorcycle,Cloudy,National Highway,Daylight,Fatal,Over-speeding,2,1,28,26-40
20250076,2025-05-18,17:52,"Seaport-Airport Road, Kochi",Ernakulam,10.034002,76.345979,South,Motorcycle,Clear,National Highway,Daylight,Major,Over-speeding,1,0,27,26-40
20250077,2025-12-19,10:52,"Thekkady Road, Idukki",Idukki,9.60237,77.163307,South,Truck,Clear,City Road,Daylight,Minor,Pedestrian error,0,0,35,26-40
20250078,2025-04-19,07:10,"Guruvayur Road, Thrissur",Thrissur,10.60208,76.05171,South,Car,Clear,City Road,Daylight,Minor,Signal violation,2,0,52,41-60
20250079,2025-02-11,17:13,"Kozhinjampara Road, Palakkad",Palakkad,10.731429,76.844058,South,Auto-rickshaw,Clear,City Road,Daylight,Minor,Tailgating,2,0,30,26-40
20250080,2025-08-26,14:59,Kannur-Mananthavady Road,Kannur,11.869477,75.668883,South,Bus,Cloudy,Rural Road,Daylight,Minor,Signal violation,0,0,36,26-40
20250081,2025-03-29,15:56,"Kozhinjampara Road, Palakkad",Palakkad,10.716009,76.845254,South,Auto-rickshaw,Clear,National Highway,Daylight,Minor,Signal violation,0,0,44,41-60
20250082,2025-09-18,16:23,"Kottarakkara Junction, Kollam",Kollam,9.011282,76.779924,South,Motorcycle,Rainy,City Road,Daylight,Major,Poor road condition,6,0,28,26-40
20250083,2025-12-09,09:14,"NH-66, Kozhikode Bypass",Kozhikode,11.258971,75.770839,South,Auto-rickshaw,Foggy,National Highway,Daylight,Major,Over-speeding,7,1,40,26-40
20250084,2025-01-15,14:17,"Kesavadasapuram Junction, Thiruvananthapuram",Thiruvananthapuram,8.537404,76.930042,South,Scooter,Cloudy,City Road,Daylight,Minor,Tailgating,1,0,36,26-40
20250085,2025-07-19,16:54,"NH-66, Kuttippuram, Malappuram",Malappuram,10.858837,75.94499,South,Car,Cloudy,Rural Road,Daylight,Minor,Wrong-side driving,3,0,32,26-40
20250086,2025-07-24,16:56,"Kozhinjampara Road, Palakkad",Palakkad,10.730806,76.855069,South,Truck,Rainy,Rural Road,Daylight,Major,Tire burst,3,0,50,41-60
20250087,2025-12-13,02:07,"Kanhangad Road, Kasaragod",Kasaragod,12.349271,75.089857,South,Motorcycle,Rainy,Rural Road,Darkness (Lit),Minor,Drunk driving,3,0,35,26-40
20250088,2025-01-30,08:37,"Vellayambalam, Thiruvananthapuram",Thiruvananthapuram,8.503306,76.941919,South,Motorcycle,Foggy,National Highway,Daylight,Major,Wrong-side driving,1,0,18,<26
20250089,2025-02-05,17:50,"Vadakkanchery Road, Thrissur",Thrissur,10.518862,76.520354,South,Scooter,Clear,State Highway,Daylight,Fatal,Drunk driving,9,3,18,<26
20250090,2025-11-06,10:10,"NH-544, Thrissur Bypass",Thrissur,10.51886,76.207936,South,Motorcycle,Rainy,Rural Road,Daylight,Major,Brake failure,5,0,18,<26
20250091,2025-04-20,13:43,"Ottappalam Bypass, Palakkad",Palakkad,10.763515,76.382772,South,Motorcycle,Clear,National Highway,Daylight,Major,Over-speeding,6,0,31,26-40
20250092,2025-05-08,14:24,"Pandalam Road, Pathanamthitta",Pathanamthitta,9.214471,76.648484,South,Motorcycle,Heatwave,City Road,Daylight,Minor,Tire burst,3,0,26,26-40
20250093,2025-01-17,16:26,"Tirur Road, Malappuram",Malappuram,10.908492,75.929075,South,Auto-rickshaw,Clear,State Highway,Daylight,Major,Drunk driving,1,0,33,26-40
20250094,2025-07-20,19:43,"Thalassery Road, Kannur",Kannur,11.739775,75.504992,South,Car,Windy,City Road,Twilight,Minor,Drunk driving,2,0,48,41-60
20250095,2025-09-14,17:29,"Peroorkada Junction, Thiruvananthapuram",Thiruvananthapuram,8.554669,76.932717,South,Motorcycle,Rainy,State Highway,Daylight,Major,Poor road condition,2,0,18,<26
20250096,2025-10-30,16:02,"NH-66, Alappuzha Bypass",Alappuzha,9.50045,76.328895,South,Bus,Rainy,City Road,Daylight,Major,Sleep deprivation,4,0,30,26-40
20250097,2025-08-20,23:38,"Thalassery Road, Kannur",Kannur,11.759972,75.504274,South,Car,Rainy,State Highway,Darkness (Unlit),Fatal,Over-speeding,3,1,36,26-40
20250098,2025-04-12,12:36,"Thekkady Road, Idukki",Idukki,9.59031,77.159991,South,Truck,Windy,National Highway,Daylight,Minor,Signal violation,1,0,48,41-60
20250099,2025-06-13,01:50,"Sultan Bathery Road, Wayanad",Wayanad,11.653086,76.260208,South,Motorcycle,Rainy,Rural Road,Darkness (Unlit),Minor,Tire burst,0,0,18,<26
20250100,2025-11-12,18:48,"NH-66, Kundara, Kollam",Kollam,8.994428,76.692394,South,Motorcycle,Rainy,Residential Street,Twilight,Major,Tailgating,1,0,36,26-40
20250101,2025-01-28,09:34,"Vellayambalam, Thiruvananthapuram",Thiruvananthapuram,8.51605,76.947989,South,Car,Clear,Residential Street,Daylight,Major,Animal crossing,6,0,54,41-60
20250102,2025-06-16,21:16,"Kakkanad, Kochi",Ernakulam,10.003014,76.359908,South,Lorry,Foggy,City Road,Darkness (Lit),Minor,Using phone while driving,3,0,33,26-40
20250103,2025-11-19,07:00,"Pandalam Road, Pathanamthitta",Pathanamthitta,9.225646,76.644716,South,Motorcycle,Rainy,City Road,Daylight,Minor,Brake failure,1,0,29,26-40
20250104,2025-06-08,17:28,"Paravur Road, Kollam",Kollam,8.780921,76.665934,South,Motorcycle,Rainy,State Highway,Daylight,Fatal,Drunk driving,3,5,36,26-40
20250105,2025-01-27,06:50,"NH-66, Kuttippuram, Malappuram",Malappuram,10.852443,75.952383,South,Car,Foggy,Residential Street,Daylight,Fatal,Vehicle malfunction,1,1,23,<26
20250106,2025-08-18,09:23,"NH-66, Alappuzha Bypass",Alappuzha,9.498974,76.345474,South,Motorcycle,Cloudy,State Highway,Daylight,Minor,Poor road condition,0,0,43,41-60
20250107,2025-06-22,20:00,"Thalassery Road, Kannur",Kannur,11.737969,75.495615,South,Truck,Stormy,City Road,Darkness (Lit),Minor,Using phone while driving,0,0,45,41-60
20250108,2025-05-08,11:56,"Manjeri Bypass, Malappuram",Malappuram,11.118286,76.114941,South,Car,Clear,City Road,Daylight,Major,Tailgating,7,1,19,<26
20250109,2025-11-05,15:14,"NH-66, Kannur Bypass",Kannur,11.874184,75.37377,South,Car,Rainy,City Road,Daylight,Minor,Using phone while driving,2,0,27,26-40
20250110,2025-06-06,11:16,"Ranni Road, Pathanamthitta",Pathanamthitta,9.376907,76.77804,South,Motorcycle,Rainy,City Road,Daylight,Minor,Animal crossing,0,0,28,26-40
20250111,2025-07-25,08:06,"Chalakudy Road, Thrissur",Thrissur,10.303758,76.327457,South,Car,Rainy,City Road,Daylight,Fatal,Vehicle malfunction,1,3,28,26-40
20250112,2025-06-07,08:16,"Sultan Bathery Road, Wayanad",Wayanad,11.673687,76.261857,South,Motorcycle,Rainy,City Road,Daylight,Minor,Vehicle malfunction,0,0,26,26-40
20250113,2025-03-16,14:55,Palakkad-Coimbatore Highway (NH-544),Palakkad,10.779877,76.666154,South,Car,Clear,Rural Road,Daylight,Major,Over-speeding,3,0,40,26-40
20250114,2025-05-31,12:56,"Mavoor Road, Kozhikode",Kozhikode,11.248943,75.808233,South,Motorcycle,Cloudy,City Road,Daylight,Major,Wrong-side driving,1,0,33,26-40
20250115,2025-10-13,18:53,"Marine Drive, Kochi",Ernakulam,9.967329,76.283685,South,Motorcycle,Rainy,State Highway,Twilight,Major,Wrong-side driving,4,0,33,26-40
20250116,2025-10-28,13:07,"Paravur Road, Kollam",Kollam,8.794907,76.675536,South,Motorcycle,Stormy,National Highway,Daylight,Major,Tire burst,1,0,22,<26
20250117,2025-06-08,04:04,"Manjeri Bypass, Malappuram",Malappuram,11.10866,76.119008,South,Bicycle,Rainy,City Road,Darkness (Lit),Major,Distracted driving,4,0,39,26-40
20250118,2025-09-05,00:16,"Peroorkada Junction, Thiruvananthapuram",Thiruvananthapuram,8.55817,76.916167,South,Car,Rainy,National Highway,Darkness (Lit),Minor,Tire burst,2,0,40,26-40
20250119,2025-10-28,07:16,"Vythiri Ghat Road, Wayanad",Wayanad,11.516405,76.04546,South,Truck,Rainy,City Road,Daylight,Minor,Over-speeding,1,0,31,26-40
20250120,2025-07-20,09:10,"Thalassery Road, Kannur",Kannur,11.737841,75.499614,South,Auto-rickshaw,Rainy,National Highway,Daylight,Minor,Tailgating,0,0,38,26-40
20250121,2025-03-28,10:36,"Sultan Bathery Road, Wayanad",Wayanad,11.659232,76.249269,South,Scooter,Cloudy,Rural Road,Daylight,Minor,Wrong-side driving,2,0,18,<26
20250122,2025-01-21,07:19,"NH-85, Munnar Road, Idukki",Idukki,9.988062,77.057178,South,Car,Foggy,State Highway,Daylight,Fatal,Over-speeding,9,2,24,<26
20250123,2025-05-24,13:46,Palakkad-Coimbatore Highway (NH-544),Palakkad,10.797315,76.645293,South,Car,Clear,State Highway,Daylight,Minor,Signal violation,1,0,25,<26
20250124,2025-04-07,07:18,"Kakkanad, Kochi",Ernakulam,10.013958,76.351232,South,Auto-rickshaw,Clear,City Road,Daylight,Major,Over-speeding,2,0,34,26-40
20250125,2025-12-13,08:25,"Perinthalmanna Road, Malappuram",Malappuram,10.977644,76.237083,South,Scooter,Clear,City Road,Daylight,Minor,Bad lighting,1,0,25,<26
20250126,2025-12-01,08:32,"Kattappana Road, Idukki",Idukki,9.736888,77.119084,South,Auto-rickshaw,Clear,National Highway,Daylight,Minor,Over-speeding,1,0,33,26-40
20250127,2025-08-08,07:45,"NH-66, Alappuzha Bypass",Alappuzha,9.497748,76.33265,South,Motorcycle,Rainy,Rural Road,Daylight,Minor,Pedestrian error,1,0,29,26-40
20250128,2025-09-08,15:46,Kottayam-Kumily Road (NH-183),Kottayam,9.557025,76.886989,South,Motorcycle,Rainy,National Highway,Daylight,Minor,Lane changing without signal,1,0,18,<26
20250129,2025-07-23,08:52,"Vellayambalam, Thiruvananthapuram",Thiruvananthapuram,8.512317,76.942297,South,Motorcycle,Rainy,City Road,Daylight,Minor,Using phone while driving,0,0,29,26-40
20250130,2025-07-10,11:07,"Vellayambalam, Thiruvananthapuram",Thiruvananthapuram,8.521903,76.945387,South,Car,Rainy,State Highway,Daylight,Major,Pedestrian error,2,0,30,26-40
20250131,2025-07-16,07:53,"Ottappalam Bypass, Palakkad",Palakkad,10.764662,76.368267,South,Auto-rickshaw,Rainy,State Highway,Daylight,Minor,Drunk driving,2,0,53,41-60
20250132,2025-06-25,06:33,"MC Road, Kottayam",Kottayam,9.583257,76.510794,South,Motorcycle,Cloudy,City Road,Daylight,Minor,Road rage,3,0,18,<26
20250133,2025-10-20,08:44,"Feroke Junction, Kozhikode",Kozhikode,11.173568,75.844637,South,Car,Cloudy,National Highway,Daylight,Major,Wrong-side driving,6,1,43,41-60
20250134,2025-11-30,10:41,"NH-66, Kannur Bypass",Kannur,11.87175,75.367726,South,Motorcycle,Stormy,State Highway,Daylight,Major,Over-speeding,2,0,18,<26
20250135,2025-06-19,01:51,"Thekkady Road, Idukki",Idukki,9.609634,77.162874,South,Motorcycle,Rainy,National Highway,Darkness (Lit),Minor,Over-speeding,3,0,30,26-40
20250136,2025-06-27,11:11,"NH-66, Kannur Bypass",Kannur,11.863366,75.359206,South,Truck,Rainy,Rural Road,Daylight,Minor,Pedestrian error,2,0,24,<26
20250137,2025-02-07,11:04,"Peroorkada Junction, Thiruvananthapuram",Thiruvananthapuram,8.554341,76.936462,South,Lorry,Clear,City Road,Daylight,Major,Animal crossing,5,0,38,26-40
20250138,2025-10-05,01:08,"Sultan Bathery Road, Wayanad",Wayanad,11.667685,76.26379,South,Van,Rainy,National Highway,Darkness (Lit),Major,Drunk driving,3,0,28,26-40
20250139,2025-10-08,07:06,"Kattappana Road, Idukki",Idukki,9.74426,77.110654,South,Car,Cloudy,National Highway,Daylight,Minor,Vehicle malfunction,0,0,35,26-40
20250140,2025-01-16,08:32,"Kanhangad Road, Kasaragod",Kasaragod,12.346642,75.104484,South,Tractor,Clear,Rural Road,Daylight,Minor,Drunk driving,0,0,59,41-60
20250141,2025-08-04,03:07,"NH-66, Edapally Junction, Kochi",Ernakulam,10.032711,76.297407,South,Car,Rainy,National Highway,Darkness (Lit),Minor,Lane changing without signal,1,0,41,41-60
20250142,2025-10-07,18:18,"Kozhinjampara Road, Palakkad",Palakkad,10.718412,76.835433,South,Auto-rickshaw,Foggy,Residential Street,Twilight,Minor,Sleep deprivation,0,0,30,26-40
20250143,2025-11-28,17:07,"NH-66, Kuttippuram, Malappuram",Malappuram,10.863955,75.945483,South,SUV,Cloudy,State Highway,Daylight,Minor,Wrong-side driving,1,0,47,41-60
20250144,2025-07-09,07:52,"Ranni Road, Pathanamthitta",Pathanamthitta,9.387506,76.77989,South,Bus,Foggy,City Road,Daylight,Major,Over-speeding,1,0,46,41-60
20250145,2025-10-31,15:22,"MC Road, Kottayam",Kottayam,9.590966,76.525366,South,Bus,Foggy,State Highway,Daylight,Major,Lane changing without signal,7,0,27,26-40
20250146,2025-08-13,14:43,Kottayam-Kumily Road (NH-183),Kottayam,9.568943,76.902359,South,Motorcycle,Cloudy,City Road,Daylight,Minor,Drunk driving,3,0,26,26-40
20250147,2025-08-14,00:08,"Guruvayur Road, Thrissur",Thrissur,10.588336,76.045994,South,Auto-rickshaw,Rainy,State Highway,Darkness (Unlit),Minor,Overloading,2,0,44,41-60
20250148,2025-03-16,20:51,"Ottappalam Bypass, Palakkad",Palakkad,10.77211,76.377718,South,Bus,Clear,Rural Road,Darkness (Unlit),Minor,Using phone while driving,0,0,34,26-40
