ID,Date,Time,Location,Lat,Lng,Region,Vehicle_Type,Weather,Road_Type,Light_Condition,Severity,Cause,Injuries,Fatalities,Driver_Age,Age_Group
20250015,2025-08-31,18:12,"FC Road, Pune",18.513408,73.838832,West,Motorcycle,Rainy,City Road,Twilight,Major,Wrong-side driving,6,0,30,26-40
20250016,2025-10-02,14:27,"Pink City Road, Jaipur",26.905756,75.779794,North,Scooter,Clear,Rural Road,Daylight,Major,Using phone while driving,1,1,29,26-40
20250017,2025-05-02,08:31,"Boring Road, Patna",25.603412,85.112031,East,Car,Clear,Residential Street,Daylight,Minor,Tailgating,3,0,33,26-40
20250018,2025-10-12,16:31,"Electronic City, Bangalore",12.830597,77.668531,South,Car,Rainy,National Highway,Daylight,Fatal,Drunk driving,8,5,56,41-60
20250019,2025-09-29,08:32,"Banjara Hills, Hyderabad",17.42274,78.422056,South,Car,Cloudy,City Road,Daylight,Minor,Pedestrian error,0,0,28,26-40
20250020,2025-10-26,15:20,"Howrah Bridge Road, Kolkata",22.576228,88.353286,East,Motorcycle,Clear,City Road,Daylight,Minor,Lane changing without signal,0,0,20,<26
20250021,2025-01-05,14:36,"FC Road, Pune",18.512698,73.832295,West,Motorcycle,Cloudy,Rural Road,Daylight,Minor,Pedestrian error,1,0,18,<26
20250022,2025-06-04,16:51,"Kothrud, Pune",18.508268,73.812736,West,Bus,Stormy,National Highway,Daylight,Major,Overloading,2,0,43,41-60
20250023,2025-03-21,10:38,"Hazratganj, Lucknow",26.853228,80.937308,North,Truck,Clear,City Road,Daylight,Major,Drunk driving,7,0,48,41-60
20250024,2025-03-08,16:16,"Marine Drive, Kochi",9.983237,76.27725,South,Motorcycle,Clear,National Highway,Daylight,Minor,Overloading,4,0,27,26-40
20250025,2025-01-19,18:37,"Arera Colony, Bhopal",23.222643,77.423223,Central,Motorcycle,Cloudy,Rural Road,Twilight,Minor,Drunk driving,1,0,21,<26
20250026,2025-07-01,17:56,"Salt Lake City, Kolkata",22.601015,88.425284,East,Scooter,Rainy,National Highway,Daylight,Fatal,Tailgating,7,1,18,<26
20250027,2025-04-02,17:21,"Salt Lake City, Kolkata",22.595867,88.428722,East,Auto-rickshaw,Clear,Rural Road,Daylight,Minor,Wrong-side driving,0,0,43,41-60
20250028,2025-08-24,12:52,"Chandni Chowk, Delhi",28.651688,77.234801,North,Motorcycle,Rainy,National Highway,Daylight,Major,Tailgating,7,0,21,<26
20250029,2025-10-02,11:01,"Outer Ring Road, Bangalore",12.946511,77.617336,South,Bus,Windy,National Highway,Daylight,Major,Distracted driving,6,0,43,41-60
20250030,2025-10-23,09:02,Rishikesh-Haridwar Highway,30.064882,78.291698,North,Auto-rickshaw,Clear,Residential Street,Daylight,Minor,Vehicle malfunction,0,0,37,26-40
20250031,2025-12-07,19:39,"Mall Road, Shimla",31.109702,77.162139,North,SUV,Foggy,City Road,Twilight,Minor,Overloading,2,0,30,26-40
20250032,2025-12-07,20:43,"Palm Beach Road, Navi Mumbai",19.029684,73.021865,West,Motorcycle,Clear,National Highway,Darkness (Lit),Major,Signal violation,6,0,24,<26
20250033,2025-08-15,16:32,"Boring Road, Patna",25.620812,85.128795,East,Auto-rickshaw,Rainy,State Highway,Daylight,Major,Poor road condition,2,0,38,26-40
20250034,2025-04-26,18:09,"Connaught Place, Delhi",28.617886,77.231218,North,Truck,Stormy,City Road,Twilight,Minor,Vehicle malfunction,3,0,20,<26
20250035,2025-09-11,13:09,"Kothrud, Pune",18.513029,73.81948,West,Van,Cloudy,Rural Road,Daylight,Major,Pedestrian error,8,0,38,26-40
20250036,2025-08-22,08:29,"Hitech City, Hyderabad",17.444434,78.379068,South,Motorcycle,Foggy,City Road,Daylight,Minor,Bad lighting,4,0,41,41-60
20250037,2025-08-17,19:47,"Boring Road, Patna",25.610502,85.122553,East,Auto-rickshaw,Rainy,Rural Road,Twilight,Minor,Sleep deprivation,2,0,20,<26
20250038,2025-05-01,10:20,"M.G. Road, Indore",22.707017,75.847225,Central,Motorcycle,Clear,State Highway,Daylight,Major,Signal violation,8,0,30,26-40
20250039,2025-04-16,18:24,"Victoria Memorial Area, Kolkata",22.547322,88.348466,East,Bicycle,Stormy,City Road,Twilight,Minor,Over-speeding,2,0,38,26-40
20250040,2025-08-03,15:47,"M.G. Road, Indore",22.728596,75.869634,Central,Motorcycle,Rainy,City Road,Daylight,Major,Brake failure,7,0,18,<26
20250041,2025-08-28,19:39,"M.G. Road, Indore",22.705409,75.854521,Central,Bus,Clear,City Road,Twilight,Minor,Distracted driving,1,0,49,41-60
20250042,2025-04-19,14:21,"Rajpath, Delhi",28.626089,77.202448,North,Scooter,Clear,Rural Road,Daylight,Fatal,Sleep deprivation,9,1,28,26-40
20250043,2025-06-29,09:04,"Victoria Memorial Area, Kolkata",22.558519,88.328808,East,Car,Rainy,Rural Road,Daylight,Major,Distracted driving,8,0,30,26-40
20250044,2025-12-25,09:23,"Marine Drive, Kochi",9.979177,76.289612,South,Auto-rickshaw,Cloudy,National Highway,Daylight,Major,Drunk driving,5,0,34,26-40
20250045,2025-07-12,13:45,"Sabarmati Road, Ahmedabad",23.04558,72.585918,West,Truck,Clear,Rural Road,Daylight,Minor,Wrong-side driving,4,0,40,26-40
20250046,2025-08-08,16:04,"Civil Lines, Nagpur",21.150226,79.07358,Central,Motorcycle,Rainy,City Road,Daylight,Minor,Tire burst,3,0,18,<26
20250047,2025-12-29,08:11,"Chenab Bridge Approach, J&K",33.150652,74.837814,North,Truck,Cloudy,Rural Road,Daylight,Minor,Animal crossing,4,0,35,26-40
20250048,2025-02-14,10:28,"Gateway Area, Mumbai",18.929514,72.836795,West,Truck,Clear,City Road,Daylight,Major,Overloading,4,0,61,60+
20250049,2025-05-13,12:56,"Bistupur, Jamshedpur",22.810636,86.196188,East,Car,Heatwave,National Highway,Daylight,Major,Vehicle malfunction,4,0,29,26-40
20250050,2025-01-09,07:14,"Indiranagar 100ft Road, Bangalore",12.977654,77.635386,South,Bus,Clear,City Road,Daylight,Minor,Road rage,4,0,26,26-40
20250051,2025-06-19,12:29,"Charminar Area, Hyderabad",17.355799,78.466616,South,Auto-rickshaw,Rainy,City Road,Daylight,Major,Poor road condition,8,0,20,<26
20250052,2025-11-02,10:06,"Sabarmati Road, Ahmedabad",23.052187,72.576026,West,Motorcycle,Foggy,National Highway,Daylight,Fatal,Over-speeding,5,6,18,<26
20250053,2025-03-06,16:48,"Race Course, Coimbatore",11.004878,76.941168,South,Motorcycle,Clear,State Highway,Daylight,Major,Brake failure,8,0,34,26-40
20250054,2025-10-23,16:03,"Electronic City, Bangalore",12.829376,77.678885,South,Motorcycle,Windy,National Highway,Daylight,Major,Pedestrian error,4,0,29,26-40
20250055,2025-07-14,14:28,"Fatehpur Sikri Road, Agra",27.101905,77.688401,North,Motorcycle,Rainy,City Road,Daylight,Minor,Wrong-side driving,1,0,21,<26
20250056,2025-02-11,08:11,"Arera Colony, Bhopal",23.220452,77.41948,Central,Motorcycle,Clear,State Highway,Daylight,Minor,Over-speeding,3,0,21,<26
20250057,2025-02-06,16:59,"Howrah Bridge Road, Kolkata",22.593735,88.350552,East,Truck,Stormy,City Road,Daylight,Major,Using phone while driving,3,1,40,26-40
20250058,2025-03-26,17:38,"Palm Beach Road, Navi Mumbai",19.027327,73.031036,West,Motorcycle,Clear,State Highway,Daylight,Major,Signal violation,8,0,23,<26
20250059,2025-11-03,04:27,"Palm Beach Road, Navi Mumbai",19.01227,73.010911,West,Car,Windy,Rural Road,Darkness (Lit),Minor,Over-speeding,2,0,19,<26
20250060,2025-03-31,14:41,"Sector 17, Chandigarh",30.753982,76.773145,North,Bus,Clear,City Road,Daylight,Minor,Signal violation,3,0,28,26-40
20250061,2025-06-20,11:06,"Marine Drive, Kochi",9.970894,76.28151,South,Motorcycle,Stormy,Rural Road,Daylight,Fatal,Using phone while driving,2,3,25,<26
20250062,2025-07-26,19:52,"MG Road, Bangalore",12.97633,77.595878,South,Motorcycle,Rainy,City Road,Twilight,Minor,Sleep deprivation,0,0,29,26-40
20250063,2025-04-15,10:08,"Varkala Road, Kerala",8.731443,76.722648,South,Car,Heatwave,City Road,Daylight,Minor,Pedestrian error,2,0,23,<26
20250064,2025-02-17,09:53,"Outer Ring Road, Bangalore",12.934043,77.613024,South,Auto-rickshaw,Clear,City Road,Daylight,Minor,Bad lighting,3,0,33,26-40
20250065,2025-09-05,21:15,"Raja Park, Jaipur",26.898138,75.830908,North,Scooter,Rainy,Rural Road,Darkness (Unlit),Minor,Tailgating,3,0,18,<26
20250066,2025-05-17,18:18,"Chenab Bridge Approach, J&K",33.143957,74.835908,North,Lorry,Clear,National Highway,Twilight,Major,Wrong-side driving,7,0,55,41-60
20250067,2025-06-14,19:44,"Gateway Area, Mumbai",18.924154,72.826707,West,Auto-rickshaw,Clear,City Road,Twilight,Minor,Brake failure,1,0,34,26-40
20250068,2025-09-15,21:21,"FC Road, Pune",18.536726,73.839109,West,Bus,Rainy,City Road,Darkness (Lit),Major,Distracted driving,5,0,38,26-40
20250069,2025-12-21,13:05,"Paltan Bazaar, Guwahati",26.19257,91.76278,East,Motorcycle,Clear,City Road,Daylight,Minor,Sleep deprivation,0,0,21,<26
20250070,2025-12-17,19:14,"Palm Beach Road, Navi Mumbai",19.005311,73.03275,West,Auto-rickshaw,Foggy,National Highway,Twilight,Major,Over-speeding,1,0,32,26-40
20250071,2025-01-29,10:23,"T. Nagar, Chennai",13.031167,80.235035,South,Bus,Cloudy,National Highway,Daylight,Minor,Over-speeding,4,0,32,26-40
20250072,2025-10-26,08:29,"Bibvewadi, Pune",18.471519,73.86076,West,Car,Cloudy,Residential Street,Daylight,Major,Using phone while driving,8,1,25,<26
20250073,2025-10-28,10:27,"Gomti Nagar, Lucknow",26.859203,81.004759,North,Car,Clear,City Road,Daylight,Minor,Pedestrian error,2,0,18,<26
20250074,2025-06-01,02:53,"Hitech City, Hyderabad",17.440374,78.362543,South,Van,Foggy,Residential Street,Darkness (Unlit),Minor,Sleep deprivation,1,0,20,<26
20250075,2025-11-07,17:14,"Bibvewadi, Pune",18.469604,73.860619,West,Auto-rickshaw,Cloudy,City Road,Daylight,Minor,Distracted driving,0,0,33,26-40
20250076,2025-10-24,12:08,"Banjara Hills, Hyderabad",17.424489,78.429802,South,Motorcycle,Clear,Rural Road,Daylight,Minor,Tire burst,2,0,34,26-40
20250077,2025-03-26,09:52,"Boring Road, Patna",25.626022,85.108854,East,Van,Cloudy,City Road,Daylight,Major,Signal violation,4,1,32,26-40
20250078,2025-10-13,12:50,"Indiranagar 100ft Road, Bangalore",12.957318,77.642297,South,Motorcycle,Clear,City Road,Daylight,Minor,Brake failure,2,0,18,<26
20250079,2025-02-25,16:30,"Connaught Place, Delhi",28.635086,77.229995,North,Motorcycle,Clear,City Road,Daylight,Minor,Animal crossing,2,0,23,<26
20250080,2025-01-24,20:19,"Race Course, Coimbatore",11.005284,76.947844,South,Bus,Clear,City Road,Darkness (Unlit),Minor,Using phone while driving,1,0,33,26-40
20250081,2025-08-01,16:53,"Race Course, Coimbatore",11.02027,76.968972,South,Motorcycle,Rainy,State Highway,Daylight,Fatal,Signal violation,6,1,33,26-40
20250082,2025-11-27,12:25,"Charminar Area, Hyderabad",17.352294,78.463365,South,Bicycle,Clear,City Road,Daylight,Major,Over-speeding,6,0,36,26-40
20250083,2025-03-06,17:13,"Park Street, Kolkata",22.562895,88.352826,East,Bus,Cloudy,State Highway,Daylight,Minor,Tailgating,4,0,61,60+
20250084,2025-03-16,22:34,"Howrah Bridge Road, Kolkata",22.594055,88.335098,East,Van,Clear,City Road,Darkness (Unlit),Fatal,Drunk driving,3,6,38,26-40
20250085,2025-08-04,15:47,"Park Street, Kolkata",22.552287,88.359541,East,Motorcycle,Clear,City Road,Daylight,Minor,Drunk driving,4,0,22,<26
20250086,2025-01-16,06:30,"Indiranagar 100ft Road, Bangalore",12.969688,77.629439,South,Auto-rickshaw,Clear,Rural Road,Daylight,Minor,Overloading,0,0,54,41-60
20250087,2025-03-06,10:40,"Golden Temple Road, Amritsar",31.621451,74.871256,North,Lorry,Clear,City Road,Daylight,Major,Road rage,2,1,26,26-40
20250088,2025-04-21,14:56,"Chandni Chowk, Delhi",28.657414,77.239823,North,Motorcycle,Cloudy,State Highway,Daylight,Major,Drunk driving,3,0,18,<26
20250089,2025-08-31,06:53,"Banjara Hills, Hyderabad",17.399997,78.422897,South,Auto-rickshaw,Cloudy,City Road,Daylight,Minor,Using phone while driving,0,0,18,<26
20250090,2025-08-05,19:46,"Anna Salai, Chennai",13.074452,80.252612,South,Motorcycle,Rainy,State Highway,Twilight,Fatal,Poor road condition,2,3,34,26-40
20250091,2025-10-12,12:48,"Charminar Area, Hyderabad",17.363823,78.483917,South,Bicycle,Windy,Rural Road,Daylight,Fatal,Using phone while driving,11,6,37,26-40
20250092,2025-12-26,17:58,"Paltan Bazaar, Guwahati",26.177531,91.742442,East,Car,Foggy,National Highway,Daylight,Minor,Vehicle malfunction,0,0,45,41-60
20250093,2025-09-29,09:26,"Raja Park, Jaipur",26.891827,75.830502,North,Auto-rickshaw,Foggy,City Road,Daylight,Minor,Signal violation,1,0,47,41-60
20250094,2025-12-12,07:28,"Hitech City, Hyderabad",17.44122,78.380512,South,Motorcycle,Clear,City Road,Daylight,Minor,Tire burst,2,0,35,26-40
20250095,2025-12-14,16:31,"Sayajigunj, Vadodara",22.312214,73.167563,West,Motorcycle,Clear,National Highway,Daylight,Fatal,Drunk driving,3,3,25,<26
20250096,2025-09-12,17:11,"NH-48 Highway, Delhi-Mumbai",22.361406,72.94051,West,Motorcycle,Cloudy,Rural Road,Daylight,Minor,Signal violation,0,0,29,26-40
20250097,2025-08-12,01:58,"Park Street, Kolkata",22.563863,88.353473,East,Bus,Rainy,City Road,Darkness (Lit),Major,Over-speeding,8,0,42,41-60
20250098,2025-02-24,09:37,"Indiranagar 100ft Road, Bangalore",12.972619,77.638073,South,Motorcycle,Clear,State Highway,Daylight,Major,Over-speeding,2,0,24,<26
20250099,2025-04-10,19:22,"Main Guard Gate, Trichy",10.835221,78.704168,South,Auto-rickshaw,Clear,National Highway,Twilight,Major,Over-speeding,2,0,40,26-40
20250100,2025-10-16,17:28,"Bandra West, Mumbai",19.072325,72.831435,West,Truck,Clear,Rural Road,Daylight,Major,Overloading,2,0,24,<26
20250101,2025-11-20,11:17,"Golden Temple Road, Amritsar",31.606685,74.87672,North,Motorcycle,Foggy,National Highway,Daylight,Fatal,Lane changing without signal,2,5,19,<26
20250102,2025-10-25,15:50,"Palm Beach Road, Navi Mumbai",19.029476,73.016892,West,Auto-rickshaw,Clear,State Highway,Daylight,Fatal,Wrong-side driving,1,4,31,26-40
20250103,2025-02-22,18:53,"Paltan Bazaar, Guwahati",26.196472,91.73953,East,Truck,Clear,City Road,Twilight,Minor,Animal crossing,4,0,44,41-60
20250104,2025-05-25,13:49,"Paltan Bazaar, Guwahati",26.187367,91.738571,East,Truck,Clear,State Highway,Daylight,Major,Distracted driving,5,0,47,41-60
20250105,2025-12-03,21:38,"Electronic City, Bangalore",12.834901,77.679482,South,Car,Clear,Residential Street,Darkness (Lit),Major,Brake failure,2,0,22,<26
20250106,2025-03-07,16:53,"Palm Beach Road, Navi Mumbai",19.032515,73.030773,West,Car,Clear,City Road,Daylight,Minor,Over-speeding,1,0,52,41-60
20250107,2025-04-20,12:49,"Race Course, Coimbatore",11.00756,76.970799,South,Car,Clear,Rural Road,Daylight,Minor,Bad lighting,4,0,48,41-60
20250108,2025-11-13,08:24,"Electronic City, Bangalore",12.829767,77.68694,South,Auto-rickshaw,Cloudy,National Highway,Daylight,Major,Signal violation,4,1,40,26-40
20250109,2025-11-09,10:47,"Sector 17, Chandigarh",30.73352,76.774875,North,Tractor,Foggy,Residential Street,Daylight,Minor,Vehicle malfunction,4,0,51,41-60
20250110,2025-05-25,17:32,"Sayajigunj, Vadodara",22.30476,73.171062,West,Car,Clear,Rural Road,Daylight,Minor,Drunk driving,2,0,36,26-40
20250111,2025-10-11,20:45,"Sayajigunj, Vadodara",22.317735,73.174752,West,Auto-rickshaw,Clear,Residential Street,Darkness (Lit),Major,Road rage,4,0,58,41-60
20250112,2025-08-01,05:32,"Zion Hill, Kodaikanal",10.230173,77.504036,South,Motorcycle,Clear,Residential Street,Twilight,Minor,Overloading,1,0,18,<26
20250113,2025-01-20,10:53,"Boring Road, Patna",25.617882,85.104164,East,Auto-rickshaw,Clear,National Highway,Daylight,Major,Over-speeding,3,0,35,26-40
20250114,2025-02-26,17:15,"Fatehpur Sikri Road, Agra",27.079755,77.665853,North,Truck,Clear,National Highway,Daylight,Major,Lane changing without signal,1,0,23,<26
20250115,2025-10-22,09:09,"Varkala Road, Kerala",8.731177,76.720144,South,Motorcycle,Clear,City Road,Daylight,Minor,Signal violation,2,0,34,26-40
20250116,2025-09-17,17:32,"Arera Colony, Bhopal",23.21881,77.4456,Central,Car,Rainy,City Road,Daylight,Minor,Over-speeding,0,0,44,41-60
20250117,2025-06-26,09:42,"Bibvewadi, Pune",18.46701,73.870557,West,Auto-rickshaw,Clear,City Road,Daylight,Minor,Overloading,1,0,46,41-60
20250118,2025-12-23,14:11,"NH-48 Highway, Delhi-Mumbai",22.351893,72.942686,West,Motorcycle,Clear,National Highway,Daylight,Fatal,Over-speeding,5,5,18,<26
20250119,2025-07-23,22:34,"Boring Road, Patna",25.604599,85.122599,East,Car,Rainy,Rural Road,Darkness (Unlit),Major,Drunk driving,7,1,36,26-40
20250120,2025-07-17,11:11,"Race Course, Coimbatore",11.022562,76.95182,South,Auto-rickshaw,Rainy,National Highway,Daylight,Major,Signal violation,3,0,18,<26
20250121,2025-06-14,07:20,"Hitech City, Hyderabad",17.437369,78.375677,South,Auto-rickshaw,Rainy,City Road,Daylight,Fatal,Animal crossing,6,5,47,41-60
20250122,2025-01-30,06:40,"Indiranagar 100ft Road, Bangalore",12.967799,77.650233,South,Truck,Windy,National Highway,Daylight,Minor,Distracted driving,0,0,37,26-40
20250123,2025-03-06,06:49,"Kothrud, Pune",18.50339,73.804186,West,Bus,Clear,City Road,Daylight,Minor,Tire burst,0,0,24,<26
20250124,2025-07-23,11:17,"Gateway Area, Mumbai",18.935816,72.820477,West,Car,Rainy,Residential Street,Daylight,Major,Wrong-side driving,5,0,31,26-40
20250125,2025-04-20,23:18,"Gomti Nagar, Lucknow",26.879194,80.994136,North,Car,Heatwave,City Road,Darkness (Unlit),Minor,Animal crossing,2,0,28,26-40
20250126,2025-10-09,15:57,"Fatehpur Sikri Road, Agra",27.101641,77.680054,North,Scooter,Clear,Rural Road,Daylight,Major,Bad lighting,4,0,18,<26
20250127,2025-05-02,17:01,"Zion Hill, Kodaikanal",10.239721,77.485267,South,Auto-rickshaw,Clear,City Road,Daylight,Major,Signal violation,7,1,35,26-40
20250128,2025-07-29,18:04,"NH-48 Highway, Delhi-Mumbai",22.379171,72.93867,West,Motorcycle,Rainy,State Highway,Twilight,Minor,Overloading,4,0,18,<26
20250129,2025-04-04,17:08,"T. Nagar, Chennai",13.041886,80.245146,South,Auto-rickshaw,Clear,State Highway,Daylight,Minor,Over-speeding,1,0,21,<26
20250130,2025-05-26,18:16,"Sabarmati Road, Ahmedabad",23.062352,72.581725,West,Car,Clear,City Road,Twilight,Minor,Bad lighting,4,0,61,60+
20250131,2025-10-25,08:42,"Vartak Nagar, Thane",19.224919,72.981254,West,Bicycle,Clear,Rural Road,Daylight,Major,Over-speeding,5,0,39,26-40
20250132,2025-11-24,03:56,"Bibvewadi, Pune",18.480267,73.872357,West,Motorcycle,Clear,Rural Road,Darkness (Lit),Fatal,Drunk driving,8,4,18,<26
20250133,2025-09-05,14:21,"Bistupur, Jamshedpur",22.79391,86.213745,East,Motorcycle,Windy,State Highway,Daylight,Minor,Drunk driving,4,0,19,<26
20250134,2025-08-27,08:28,"Gateway Area, Mumbai",18.911226,72.821218,West,Scooter,Cloudy,City Road,Daylight,Minor,Poor road condition,4,0,23,<26
20250135,2025-06-10,09:10,"Race Course, Coimbatore",11.031679,76.954804,South,Van,Rainy,National Highway,Daylight,Major,Drunk driving,4,0,35,26-40
20250136,2025-09-11,15:53,"Kothrud, Pune",18.512576,73.801272,West,Car,Clear,National Highway,Daylight,Major,Over-speeding,7,0,41,41-60
20250137,2025-07-25,05:35,"Sabarmati Road, Ahmedabad",23.054176,72.573858,West,Motorcycle,Rainy,City Road,Twilight,Major,Wrong-side driving,2,0,28,26-40
20250138,2025-07-07,17:12,"Bistupur, Jamshedpur",22.804874,86.202902,East,Car,Clear,State Highway,Daylight,Major,Wrong-side driving,3,0,27,26-40
20250139,2025-11-10,11:25,"Vartak Nagar, Thane",19.22548,72.972077,West,Motorcycle,Cloudy,City Road,Daylight,Minor,Lane changing without signal,0,0,18,<26
20250140,2025-08-02,15:50,"Chenab Bridge Approach, J&K",33.161163,74.837178,North,Truck,Rainy,City Road,Daylight,Minor,Pedestrian error,4,0,51,41-60
20250141,2025-09-03,08:40,"Chenab Bridge Approach, J&K",33.153592,74.843535,North,Car,Rainy,National Highway,Daylight,Fatal,Tire burst,1,4,35,26-40
20250142,2025-12-20,09:32,"Victoria Memorial Area, Kolkata",22.548144,88.341748,East,Bicycle,Foggy,City Road,Daylight,Major,Bad lighting,6,1,44,41-60
20250143,2025-09-02,15:20,"Pink City Road, Jaipur",26.91119,75.788294,North,Bus,Rainy,Rural Road,Daylight,Minor,Tailgating,1,0,47,41-60
20250144,2025-06-02,09:19,"Victoria Memorial Area, Kolkata",22.53847,88.333818,East,Auto-rickshaw,Rainy,State Highway,Daylight,Minor,Tire burst,2,0,35,26-40
20250145,2025-05-28,08:43,"M.G. Road, Indore",22.715991,75.872105,Central,Auto-rickshaw,Heatwave,Rural Road,Daylight,Fatal,Lane changing without signal,12,1,30,26-40
20250146,2025-05-12,17:13,"Sabarmati Road, Ahmedabad",23.068139,72.573334,West,Bus,Clear,National Highway,Daylight,Fatal,Vehicle malfunction,1,6,48,41-60
20250147,2025-09-29,09:14,"Anna Salai, Chennai",13.048406,80.244509,South,Motorcycle,Rainy,National Highway,Daylight,Minor,Brake failure,1,0,18,<26
20250148,2025-09-01,14:12,"Rajpath, Delhi",28.628617,77.203735,North,Truck,Stormy,National Highway,Daylight,Major,Distracted driving,1,1,53,41-60
20250149,2025-03-31,14:53,"Pink City Road, Jaipur",26.925418,75.77339,North,Auto-rickshaw,Foggy,National Highway,Daylight,Minor,Vehicle malfunction,2,0,39,26-40
20250150,2025-10-18,15:59,"Paltan Bazaar, Guwahati",26.175537,91.766673,East,Bus,Clear,Residential Street,Daylight,Minor,Bad lighting,1,0,36,26-40
20250151,2025-02-27,11:46,"Raja Park, Jaipur",26.901049,75.840958,North,Car,Clear,State Highway,Daylight,Fatal,Poor road condition,10,6,55,41-60
20250152,2025-09-21,11:25,"Hitech City, Hyderabad",17.431362,78.391751,South,Motorcycle,Stormy,National Highway,Daylight,Major,Drunk driving,5,1,18,<26
20250153,2025-06-04,15:36,"MG Road, Bangalore",12.964447,77.590387,South,Motorcycle,Rainy,City Road,Daylight,Minor,Poor road condition,4,0,40,26-40
20250154,2025-06-09,16:40,"Varkala Road, Kerala",8.729326,76.708325,South,Scooter,Rainy,City Road,Daylight,Minor,Tire burst,4,0,18,<26
20250155,2025-08-30,17:51,"Hitech City, Hyderabad",17.453268,78.385156,South,Truck,Rainy,Rural Road,Daylight,Minor,Bad lighting,2,0,51,41-60
20250156,2025-02-01,18:57,"Civil Lines, Nagpur",21.136865,79.0893,Central,Car,Cloudy,City Road,Twilight,Minor,Vehicle malfunction,3,0,45,41-60
20250157,2025-02-16,19:28,"Anna Salai, Chennai",13.059003,80.249997,South,Motorcycle,Clear,City Road,Twilight,Minor,Lane changing without signal,3,0,25,<26
20250158,2025-04-22,15:02,"T. Nagar, Chennai",13.037136,80.221013,South,Lorry,Heatwave,National Highway,Daylight,Fatal,Tire burst,7,2,38,26-40
20250159,2025-03-11,17:46,"Kothrud, Pune",18.521313,73.803934,West,SUV,Clear,Residential Street,Daylight,Minor,Brake failure,4,0,53,41-60
20250160,2025-03-02,08:34,"Indiranagar 100ft Road, Bangalore",12.972765,77.648036,South,Car,Clear,National Highway,Daylight,Major,Over-speeding,7,0,55,41-60
20250161,2025-04-28,09:22,"Electronic City, Bangalore",12.833169,77.690122,South,Auto-rickshaw,Clear,Rural Road,Daylight,Minor,Road rage,0,0,38,26-40
20250162,2025-11-01,03:38,"Bandra West, Mumbai",19.065699,72.81596,West,Auto-rickshaw,Clear,State Highway,Darkness (Lit),Major,Drunk driving,5,0,42,41-60
20250163,2025-10-22,11:38,"Victoria Memorial Area, Kolkata",22.549976,88.33722,East,Motorcycle,Clear,City Road,Daylight,Minor,Pedestrian error,2,0,44,41-60
20250164,2025-03-31,16:27,"Arera Colony, Bhopal",23.233069,77.448569,Central,Scooter,Clear,Rural Road,Daylight,Minor,Overloading,3,0,33,26-40
20250165,2025-03-18,10:11,"Rajpath, Delhi",28.615838,77.201329,North,Car,Cloudy,National Highway,Daylight,Fatal,Wrong-side driving,7,4,31,26-40
20250166,2025-05-05,09:21,"Kothrud, Pune",18.494772,73.806194,West,Motorcycle,Clear,Rural Road,Daylight,Major,Drunk driving,1,1,24,<26
